timestamp,version,avg_knps
2026-06-07 12:00:00,v1,172
2026-06-07 12:05:00,v2,500
2026-06-07 12:10:00,v3,397
2026-07-21 04:51:48,v4,308
2026-09-04 09:15:40,v5,372
