search_time,position,depth
0.1,opening,12
0.1,midgame,9
0.1,kiwipete,4
0.1,endgame,13
0.2,opening,12
0.2,midgame,11
0.2,kiwipete,5
0.2,endgame,15
0.5,opening,14
0.5,midgame,12
0.5,kiwipete,8
0.5,endgame,17
1.0,opening,16
1.0,midgame,15
1.0,kiwipete,11
1.0,endgame,19
2.0,opening,17
2.0,midgame,16
2.0,kiwipete,13
2.0,endgame,21
3.0,opening,17
3.0,midgame,16
3.0,kiwipete,13
3.0,endgame,22
5.0,opening,19
5.0,midgame,19
5.0,kiwipete,16
5.0,endgame,24
7.0,opening,20
7.0,midgame,19
7.0,kiwipete,16
7.0,endgame,23
10.0,opening,22
10.0,midgame,20
10.0,kiwipete,16
10.0,endgame,26
15.0,opening,21
15.0,midgame,22
15.0,kiwipete,18
15.0,endgame,26
20.0,opening,22
20.0,midgame,22
20.0,kiwipete,18
20.0,endgame,28
