"#","PLAYER","RATING","ERROR","POINTS","PLAYED","(%)"
1,"fruit-2.1",2685.0,"-",404.50,500,80.90
2,"blunder-7.6.0",2631.0,"-",350.00,500,70.00
3,"blunder-7.4.0",2532.0,"-",289.00,500,57.80
4,"blunder-7.2.0",2425.0,"-",221.50,500,44.30
5,"OmegaZero",2347.6,32.6,169.00,500,33.80
6,"blunder-6.1.0",2155.0,"-",66.00,500,13.20
