epoch,train_loss,val_loss,learning_rate,best_val_loss,epoch_time_s
1,0.01965711,0.01809801,1.00e-03,0.01809801,447.8
2,0.01722788,0.01751582,1.00e-03,0.01751582,445.9
3,0.01660851,0.01727882,9.99e-04,0.01727882,451.1
4,0.01620760,0.01713900,9.98e-04,0.01713900,449.8
5,0.01594007,0.01710084,9.96e-04,0.01713900,445.3
